route,sharpe,sortino,std,neg std,min net,acc,mean net
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_10,0.4166140249643661,0.8232117892921847,0.029177985102171976,0.014766501126299628,-0.0396122082575303,1.5229638729277082,0.012155957813766178
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_20,0.46652478014618254,1.150812181429893,0.024017477034864936,0.009736383029448268,-0.0293599199051207,1.4789351397140544,0.011204748193356352
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_50,0.44816941756558204,1.4150263277838602,0.02294536273101206,0.007267292239780459,-0.0223562523283768,1.432460709441048,0.010283409850988688
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_70,0.46174951626496835,1.305525824561406,0.02197428387872678,0.007772052272255862,-0.0269547198409117,1.4265138788687552,0.010146614951271183
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_30,0.343048782952074,0.9386873919699228,0.019339927700707134,0.007067889392000344,-0.0266858389167171,1.2606614258954754,0.006634538660108686
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientsemivariance/minsemivariance/1_1m_100,0.2829319492281363,0.6855234047818995,0.018851214104623596,0.0077803481467346655,-0.0302810171658428,1.2037252557899154,0.00533361075193809
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_10,0.13840185768094104,0.17568870434444853,0.028493499315500815,0.022446253740731992,-0.0718560680343952,1.09660790355552,0.003943553237095935
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_50,1.2123504595919807,,0.01015497705099248,,0.0051307379593662,1.0247227907610723,0.012311391094916751
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_20,0.05570812078162835,0.08840259739653027,0.0216060601466811,0.01361535796134514,-0.0512096792723594,1.0237874361785582,0.0012036330082664376
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_30,0.11053504370333865,0.20150743295286688,0.014093470306797537,0.007730843142932351,-0.0252660724443208,1.0207164934789896,0.0015578223562935714
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_100,,,,,,,
C:\Users\ramon\Documents\Trading\WorkingDir\gbm\results\MX\1m_1/MinVols/10_/efficientfrontier/minvol/1_1m_70,,,,,,,
